1 | Title | Definition | No
5496 | ListItem | + flushing of the face «redness, pain, or swelling at the place on the body where an injectable anticancer drug is given | No
5497 | ListItem | * pain in the side or lower back * problems urinating or painful urination | No
5498 | NarrativeText | In addition, there are other possible side effects that do not need medical attention unless they persist or inter- fere with normal activities. These include changes in menstrual period, itchy skin, nausea and vomiting, and loss of appetite. | No
5499 | ListItem | « dizziness or faintness ¢ fast or irregular heartbeat | No
5500 | NarrativeText | Other side effects do not need immediate care, but should have medical attention. They are: Other rare side effects may occur. Anyone who has unusual symptoms after taking anticancer drugs should contact the physician who prescribed the medication. | No
5501 | ListItem | * joint pain | No
5502 | Title | nteractions | No
5503 | ListItem | ¢ skin rash ¢ hearing problems or ringing in the ears | No
5504 | ListItem | * numbness or tingling in the fingers or toes * trouble walking or balance problems | No
5505 | ListItem | ¢ swelling of the feet or lower legs * unusual tiredness or weakness | No
5506 | NarrativeText | Anticancer drugs may interact with a number of other medicines. When this happens, the effects of one or both of the drugs may change or the risk of side effects may be greater. The health care provider should be aware of all other prescription or non-prescription (over-the- counter) medicines a patient is taking. The primary care provider should also be told if the patient has been treat- ed with radiation or has taken other anticancer drugs. | No
5507 | ListItem | + loss of taste * seizures | No
5508 | ListItem | ¢ dizziness Samuel Uretsky, PharmD | No
5509 | ListItem | * confusion * agitation | No
5510 | NarrativeText | Anticholinergic drugs see Antiparkinson drugs Anticlotting drugs see Anticoagulant and antiplatelet drugs | No
5511 | Title | drugs | No
5513 | Title | Definition | No
5514 | NarrativeText | Anticoagulants are drugs used to prevent clot forma- tion or to prevent a clot that has formed from enlarging. They inhibit clot formation by blocking the action of clotting factors or platelets. Anticoagulant drugs fall into three categories: inhibitors of clotting factor synthesis, inhibitors of thrombin and antiplatelet drugs. | No
5515 | Title | Purpose | No
5516 | NarrativeText | Anticoagulant drugs reduce the ability of the blood to form clots. Although blood clotting is essential to pre- vent serious bleeding in the case of skin cuts, clots inside the blood vessels block the flow of blood to major organs and cause heart attacks and strokes. Although these drugs are sometimes called blood thinners, they do not actually thin the blood. Furthermore, this type of medication will not dissolve clots that already have formed, although the drug stops an existing clot from worsening. However, another type of drug, used in thrombolytic therapy, will dissolve existing clots. | No
5517 | NarrativeText | Anticoagulant drugs are used for a number of condi- tions. For example, they may be given to prevent blood clots from forming after the replacement of a heart valve or to reduce the risk of a stroke or another heart attack after a first heart attack. They are also used to reduce the chance of blood clots forming during open heart surgery or bypass surgery. Low doses of these drugs may be given to prevent blood clots in patients who must stay in bed for a long time after certain types of surgery. | No
5518 | NarrativeText | Because anticoagulants affect the blood’s ability to clot, they can increase the risk of severe bleeding and heavy blood loss. It is thus essential to take these drugs exactly as directed and to see a physician regularly as long as they are prescribed. | No
5519 | Title | Description | No
5520 | NarrativeText | Anticoagulant drugs, also called anticlotting drugs or blood thinners, are available only with a physician’s prescription. They come in tablet and injectable forms. They fall into three groups: + Inhibitors of clotting factor synthesis. These anticoagu- lants inhibit the production of certain clotting factors in | No
5521 | Title | 250 | No
5522 | NarrativeText | the liver. One example is warfarin (brand name: coumadin). | No
5523 | ListItem | ¢ Inhibitors of thrombin. Thrombin inhibitors interfere with blood clotting by blocking the activity of throm- bin. They include heparin, lepirudin (Refludan). | No
5524 | ListItem | + Antiplatelet drugs. Antiplatelet drugs interact with platelets, which is a type of blood cell, to block platelets from aggregating into harmful clots. They include: aspirin, ticlopidine (Ticlid), clopidogrel (Plav- ix), tirofiban (Aggrastat), and eptifibatide (Integrilin). | No
5525 | Title | Recommended dosage | No
5526 | NarrativeText | The recommended dosage depends on the type of anticoagulant drug and the medical condition for which it is prescribed. The prescribing physician or the pharmacist who filled the prescription can provide information con- cerning the correct dosage. Usually, the physician will adjust the dose after checking the patient’s clotting time. | No
5527 | NarrativeText | Anticoagulant drugs must be taken exactly as direct- ed by the physician. Larger or more frequent doses should not be taken, and the drug should also not be taken for longer than prescribed. Taking too much of this medication can cause severe bleeding. Anticoagulants should also be taken on schedule. A record of each dose should be kept as it is taken. If a dose is missed, it should be taken as soon as possible followed by the regular dose schedule. However, a patient who forgets to take a missed dose until the next day should not take the missed dose at all and should not double the next dose, as this could lead to bleeding. A record of all missed doses should be kept for the prescribing physician who should be informed at the scheduled visits. | No
5528 | Title | Precautions | No
5529 | NarrativeText | Persons who take anticoagulants should see a physi- cian regularly while taking these drugs, particularly at the beginning of therapy. The physician will order peri- odic blood tests to check the blood’s clotting ability. The results of these tests will help the physician determine the proper amount of medication to be taken each day. | No
5530 | NarrativeText | Time is required for normal clotting ability to return after anticoagulant treatment. During this period, patients must observe the same precautions they observed while taking the drug. The length of time needed for the blood to return to normal depends on the type of anticoagulant drug that was taken. The prescribing physician will advise as to how long the precautions should be observed. | No
5531 | NarrativeText | People who are taking anticoagulant drugs should tell all physicians, dentists, pharmacists, and other med- ical professionals who provide medical treatments or ser- vices to them that they are taking such a medication. | No
